regime,feature,mean_abs_shap
calm,ret_1d_lag,0.000842434714471648
calm,ret_5d_lag,0.0005754520355732293
calm,momentum_1m,0.001031779419790813
calm,volatility_1m,0.00013014528459870308
calm,log_size,0.0003212235648375772
calm,turnover_5d,0.00018593207160185716
calm,amihud_5d,0.00042238183693535836
calm,f_buy_5d,0.00021400948212401793
calm,f_sell_5d,0.0009651205848316991
stress,ret_1d_lag,0.0010430485446742402
stress,ret_5d_lag,0.00044243979712294543
stress,momentum_1m,0.0007744445833091704
stress,volatility_1m,0.00013116417103936626
stress,log_size,0.00036306527779609655
stress,turnover_5d,0.000143158138158188
stress,amihud_5d,0.0003538697506333796
stress,f_buy_5d,0.00020262468588691895
stress,f_sell_5d,0.00023624114708342052
other,ret_1d_lag,0.0009147670182784347
other,ret_5d_lag,0.0003795164739681912
other,momentum_1m,0.0008393688343484382
other,volatility_1m,0.00015820940855589092
other,log_size,0.00023083173286530607
other,turnover_5d,0.00013464431178793104
other,amihud_5d,0.0002678748010201381
other,f_buy_5d,0.00021714144981429756
other,f_sell_5d,0.0003379910536074516
