quintile,model,block_b1,oos_r2_b1,mae_b1,rmse_b1,n_obs_b1,block_b2,oos_r2_b2,mae_b2,rmse_b2,n_obs_b2,delta_oos_r2
1,FE,B1,-0.003310827638344893,0.031299494839743064,0.04403381994835815,20319,B2,-0.003536160231432106,0.03131095271738977,0.04403876442693566,20319,-0.00022533259308721298
1,RF,B1,0.002361617350437495,0.031183268334399192,0.04390916592186006,20319,B2,0.0037625307702210398,0.03118105832487771,0.04387832581455734,20319,0.0014009134197835449
1,XGB,B1,0.0016650402816947851,0.031207503377260776,0.04392449250786454,20319,B2,0.0070836626616640475,0.03120258847297463,0.04380512672041242,20319,0.005418622379969262
2,FE,B1,-0.00762006017199468,0.03617730127876581,0.049922234534319467,20626,B2,-0.007851359762647725,0.03619441163903321,0.049927964040058045,20626,-0.00023129959065304462
2,RF,B1,-0.0019202335563965889,0.036068217486630645,0.04978083618542665,20626,B2,-0.0008460998100547901,0.03605237434697659,0.04975414463191277,20626,0.0010741337463417988
2,XGB,B1,-0.0034584781889039906,0.036094229287426144,0.04981903570105099,20626,B2,-0.004388094327315795,0.03611634867728371,0.049842106839232354,20626,-0.000929616138411804
3,FE,B1,-0.007443602582238196,0.03848994344012603,0.053003724354092424,19162,B2,-0.007838091256941127,0.03848543572374685,0.05301410077736355,19162,-0.0003944886747029308
3,RF,B1,-0.0016383054916684348,0.03837142809744529,0.052850789279553195,19162,B2,-0.0008723762991669215,0.03838255575769589,0.052830578539003296,19162,0.0007659291925015133
3,XGB,B1,-0.003806226010033553,0.0384238467591783,0.05290795281870197,19162,B2,-0.004165132419084783,0.03847151688574925,0.05291741047387963,19162,-0.0003589064090512295
4,FE,B1,-0.007950139309950144,0.03776114173319239,0.052630239343999685,19580,B2,-0.008200751365949444,0.037763037877944945,0.052636781806873735,19580,-0.0002506120559992997
4,RF,B1,-0.0008993584846164193,0.037459882167644974,0.052445837607803955,19580,B2,-0.0007329203878561064,0.03746542161252931,0.052441476855529925,19580,0.00016643809676031296
4,XGB,B1,-0.0024333852363676023,0.03751966958777152,0.05248601273338775,19580,B2,-0.004380342296599338,0.0375834765347866,0.052536957985464997,19580,-0.0019469570602317354
5,FE,B1,-0.009478509917906441,0.03602571780618867,0.04907787558163324,18289,B2,-0.009819538994833454,0.03601681375439868,0.049086164796871785,18289,-0.000341029076927013
5,RF,B1,-0.0018426658879937552,0.035777814899232,0.04889190710361144,18289,B2,-0.0013566762339096705,0.03577225984283313,0.04888004703610055,18289,0.0004859896540840847
5,XGB,B1,-0.005112042965866204,0.03585851438485565,0.04897161816463507,18289,B2,-0.008628193816700325,0.03592155937288026,0.049057201293324054,18289,-0.003516150850834121
