block,max_depth,min_samples_leaf,max_features,cv_mse,rank_test_score
b1,3,10,sqrt,0.0020569679806593808,1
b1,3,10,0.5,0.0020569679806593808,1
b1,3,5,sqrt,0.0020571879907954936,3
b1,3,5,0.5,0.0020571879907954936,3
b1,5,5,sqrt,0.0020599148769941704,5
b1,5,5,0.5,0.0020599148769941704,5
b1,5,10,sqrt,0.0020605616531230594,7
b1,5,10,0.5,0.0020605616531230594,7
b1,,10,sqrt,0.002102794350134606,9
b1,,10,0.5,0.002102794350134606,9
b1,,5,sqrt,0.00212362569139266,11
b1,,5,0.5,0.00212362569139266,11
b2,3,10,sqrt,0.002055149137619253,1
b2,3,5,sqrt,0.002055535132570668,2
b2,3,5,0.5,0.0020557806250731127,3
b2,3,10,0.5,0.0020558214791960147,4
b2,5,10,sqrt,0.002056093596536419,5
b2,5,5,sqrt,0.0020564497215503847,6
b2,5,5,0.5,0.0020575759092607087,7
b2,5,10,0.5,0.0020578308891409207,8
b2,,10,sqrt,0.0020862189413065704,9
b2,,10,0.5,0.002090489992179186,10
b2,,5,sqrt,0.0020969532269704454,11
b2,,5,0.5,0.0021044923685038623,12
b3,3,10,sqrt,0.0020564626149390374,1
b3,3,5,sqrt,0.0020564710264729916,2
b3,3,10,0.5,0.002058072319033345,3
b3,5,10,sqrt,0.002058355713599168,4
b3,3,5,0.5,0.002058497174711239,5
b3,5,5,sqrt,0.002059340721176774,6
b3,5,10,0.5,0.002061636881824887,7
b3,5,5,0.5,0.0020623256953858963,8
b3,,10,sqrt,0.0020886772710533488,9
b3,,10,0.5,0.0020963168848672537,10
b3,,5,sqrt,0.0020984776306738873,11
b3,,5,0.5,0.002106513759309972,12
