block,n_estimators,learning_rate,max_depth,cv_mse,rank_test_score
b1,100,0.05,2,0.0020620583304319746,1
b1,100,0.05,3,0.0020659822720324843,2
b1,100,0.1,2,0.002068499756100261,3
b1,200,0.05,2,0.002068876058758784,4
b1,100,0.1,3,0.00207867591469374,5
b1,200,0.05,3,0.0020790432066138693,6
b1,200,0.1,2,0.0020791239463332743,7
b1,200,0.1,3,0.002099082240229046,8
b2,100,0.05,3,0.0020606547922322393,1
b2,100,0.05,2,0.0020617278183112553,2
b2,200,0.05,2,0.002066108675529774,3
b2,100,0.1,2,0.0020670184341623553,4
b2,200,0.05,3,0.002069675152799158,5
b2,200,0.1,2,0.0020745439721032754,6
b2,100,0.1,3,0.002077583475364406,7
b2,200,0.1,3,0.002095751599834123,8
b3,100,0.05,2,0.0020681159787959585,1
b3,100,0.05,3,0.0020758867638060894,2
b3,200,0.05,2,0.0020769310570273288,3
b3,100,0.1,2,0.002079110844164432,4
b3,200,0.05,3,0.00208923895031095,5
b3,100,0.1,3,0.0020902971067486937,6
b3,200,0.1,2,0.0020979384680090652,7
b3,200,0.1,3,0.0021169913626050006,8
